	"Data Addendum B.-Data Status Indicators, Data APC Assignments, and Data Comment Indicators Used in the Development of the Geometric Mean Costs for HCPCS codes and APCs for CY 2025"						
81432	Hrdtry brst ca-rlatd do 5+	A		NP16			
81433	Hrdtry brst ca-rlatd dsordrs	A		PD25			
81434	Hered rta do gen seq 15	A		NP16			
81435	Hered colon ca-rlatd do 5+	A		NI15			
81436	Hereditary colon ca dsordrs	A		PD25			
81437	Hered neuroend tum-rlt do 5+	A		NP16			
81438	Heredtry nurondcrn tum dsrdr	A		PD25			
81439	Hrdtry cardmypy gene panel	A		NP17			
81440	Mitochondrial gene	A		NI15			
81441	Ibmfs seq alys pnl 30 genes	A		NP23			
81442	Noonan spectrum disorders	A		NP16			
81443	Genetic tstg severe inh cond	A		NP19			
81445	So neo gsap 5-50dna/dna&rna	A		NI15			
81448	Hrdtry perph neurphy panel	A		NP18			
81449	So neo gsap 5-50 rna alys	A		NP23			
81450	Hl neo gsap 5-50dna/dna&rna	A		NI15			
81451	Hl neo gsap 5-50 rna alys	A		NP23			
81455	So/hl 51/>gsap dna/dna&rna	A		NI15			
81456	So/hl 51/>gsap rna alys	A		NP23			
81457	So neo gsap dna mcrstl ins	A		NP24			
81458	So gsap dna cpy nmbr&mcrstl	A		NP24			
81459	So neo gsap dna/dna&rna	A		NP24			
81460	Whole mitochondrial genome	A		NI15			
81462	So gsap cll fr dna/dna&rna	A		NP24			
81463	So gsap cl fr cpy nmbr&mcrst	A		NP24			
81464	So gsap cll fr mcrstl ins	A		NP24			
81465	Whole mitochondrial genome	A		NI15			
81470	X-linked intellectual dblt	A		NI15			
81471	X-linked intellectual dblt	A		NI15			
81479	Unlisted molecular pathology	A		NI13			
81490	Autoimmune ra alys 12 bmrk	A		NP16			
81493	Cor artery disease mrna	A		NP16			
81500	Onco (ovar) two proteins	A		NI13			
81503	Onco (ovar) five proteins	A		NI13			
81504	Oncology tissue of origin	A		NI14			
81506	Endo assay seven anal	N		NI13			
81507	Fetal aneuploidy trisom risk	A		NI14			
81508	Ftl cgen abnor two proteins	N		NI13			
81509	Ftl cgen abnor 3 proteins	N		NI13			
81510	Ftl cgen abnor three anal	N		NI13			
81511	Ftl cgen abnor four anal	N		NI13			
81512	Ftl cgen abnor five anal	N		NI13			
81513	Nfct ds bv rna vag flu alg	N		NP21			
81514	Nfct ds bv&vaginitis dna alg	A		NP21			
81515	Nfct ds bv&vaginitis dna alg	A 		NP25			
81517	Liver ds alys 3 bmrk srm alg	N		NP24			
81518	Onc brst mrna 11 genes	A		NP19			
81519	Oncology breast mrna	A		NI15			
81520	Onc breast mrna 58 genes	A		NP18			
81521	Onc breast mrna 70 genes	A		NP18			
81522	Onc breast mrna 12 genes	A		NP20			
81523	Onc brst mrna 70 cnt 31 gene	A		NP22			
81525	Oncology colon mrna	A		NP16			
81528	Oncology colorectal scr	A		NP16			
81529	Onc cutan mlnma mrna 31 gene	A		NP21			
81535	Oncology gynecologic	A		NP16			
81536	Oncology gynecologic	A		NP16			
81538	Oncology lung	A		NP16			
81539	Oncology prostate prob score	A		NP17			
81540	Oncology tum unknown origin	A		NP16			
81541	Onc prostate mrna 46 genes	A		NP18			
81542	Onc prostate mrna 22 cnt gen	A		NP20			
81545	Oncology thyroid	A		PD21			
81546	"Onc thyr mrna 10,196 gen alg"	A		NP21			
81551	Onc prostate 3 genes	A		NP18			
81552	Onc uveal mlnma mrna 15 gene	A		NP20			
81554	Pulm ds ipf mrna 190 gen alg	A		NP21			
81558	Trnspl rej kdn mrna qpcr 139	A		NP25			
81560	Trnsplj pd lvr&bwl cd154+cll	N		NP22			
81595	Cardiology hrt trnspl mrna	A		NP16			
81596	Nfct ds chrnc hcv 6 assays	A		NP19			
81599	Unlisted maaa	E1		NI13			
82009	Ketone bodys qual	N		CP16			
82010	Ketone bodys quan	N		CP16			
82013	Acetylcholinesterase assay	N		CP16			
82016	Acylcarnitines qual	N		CP16			
82017	Acylcarnitines quant	N		CP16			
82024	Assay of acth	N		CP16			
82030	Assay of adp & amp	N		CP16			
82040	Assay of serum albumin	N		CP16			
82042	Other source albumin quan ea	N		CP16			
82043	Ur albumin quantitative	N		CP16			
82044	Ur albumin semiquantitative	N		CP16			
82045	Albumin ischemia modified	N		CP16			
82075	Assay of breath ethanol	N		CP16			
82077	Assay spec xcp ur&breath ia	N		NP21			
82085	Assay of aldolase	N		CP16			
82088	Assay of aldosterone	N		CP16			
82103	Alpha-1-antitrypsin total	N		CP16			
82104	Alpha-1-antitrypsin pheno	N		CP16			
82105	Alpha-fetoprotein serum	N		CP16			
82106	Alpha-fetoprotein amniotic	N		CP16			
82107	Alpha-fetoprotein l3	N		NI7			
82108	Assay of aluminum	N		CP16			
82120	Amines vaginal fluid qual	N		CP16			
82127	Amino acid single qual	N		CP16			
82128	Amino acids mult qual	N		CP16			
82131	Amino acids single quant	N		CP16			
82135	Assay aminolevulinic acid	N		CP16			
82136	Amino acids quant 2-5	N		CP16			
82139	Amino acids quan 6 or more	N		CP16			
82140	Assay of ammonia	N		CP16			
82143	Amniotic fluid scan	N		CP16			
82150	Assay of amylase	N		CP16			
82154	Androstanediol glucuronide	N		CP16			
82157	Assay of androstenedione	N		CP16			
82160	Assay of androsterone	N		CP16			
82163	Assay of angiotensin ii	N		CP16			
82164	Angiotensin i enzyme test	N		CP16			
82166	Assay anti-mullerian horm	N		NP24			
82172	Assay of apolipoprotein	N		CP16			
82175	Assay of arsenic	N		CP16			
82180	Assay of ascorbic acid	N		CP16			
82190	Atomic absorption	N		CP16			
82232	Assay of beta-2 protein	N		CP16			
82233	Beta-amyloid 1-40 (abeta 40)	N		NP25			
82234	Beta-amyloid 1-42 (abeta 42)	N		NP25			
82239	Bile acids total	N		CP16			
82240	Bile acids cholylglycine	N		CP16			
82247	Bilirubin total	N		CP16			
82248	Bilirubin direct	N		CP16			
82252	Fecal bilirubin test	N		CP16			
82261	Assay of biotinidase	N		CP16			
82270	Occult blood feces	A		CP16			
82271	Occult blood other sources	N		NI6			
82272	Occult bld feces 1-3 tests	N		NI6			
82274	Assay test for blood fecal	N		CP16			
82286	Assay of bradykinin	N		CP16			
82300	Assay of cadmium	N		CP16			
82306	Vitamin d 25 hydroxy	N		CP16			
82308	Assay of calcitonin	N		CP16			
82310	Assay of calcium	N		CP16			
82330	Assay of calcium	N		CP16			
82331	Calcium infusion test	N		CP16			
82340	Assay of calcium in urine	N		CP16			
82355	Calculus analysis qual	N		CP16			
82360	Calculus assay quant	N		CP16			
82365	Calculus spectroscopy	N		CP16			
82370	X-ray assay calculus	N		CP16			
82373	Assay c-d transfer measure	N		CP16			
82374	Assay blood carbon dioxide	N		CP16			
82375	Assay carboxyhb quant	N		CP16			
82376	Assay carboxyhb qual	N		CP16			
82378	Carcinoembryonic antigen	N		CP16			
82379	Assay of carnitine	N		CP16			
82380	Assay of carotene	N		CP16			
82382	Assay urine catecholamines	N		CP16			
82383	Assay blood catecholamines	N		CP16			
82384	Assay three catecholamines	N		CP16			
82387	Assay of cathepsin-d	N		CP16			
82390	Assay of ceruloplasmin	N		CP16			
82397	Chemiluminescent assay	N		CP16			
82415	Assay of chloramphenicol	N		CP16			
82435	Assay of blood chloride	N		CP16			
82436	Assay of urine chloride	N		CP16			
82438	Assay other fluid chlorides	N		CP16			
82441	Test for chlorohydrocarbons	N		CP16			
82465	Assay bld/serum cholesterol	A		CP16			
82480	Assay serum cholinesterase	N		CP16			
82482	Assay rbc cholinesterase	N		CP16			
82485	Assay chondroitin sulfate	N		CP16			
82495	Assay of chromium	N		CP16			
82507	Assay of citrate	N		CP16			
82523	Collagen crosslinks	N		CP16			
82525	Assay of copper	N		CP16			
82528	Assay of corticosterone	N		CP16			
82530	Cortisol free	N		CP16			
82533	Total cortisol	N		CP16			
82540	Assay of creatine	N		CP16			
82542	Col chromotography qual/quan	N		CP16			
82550	Assay of ck (cpk)	N		CP16			
82552	Assay of cpk in blood	N		CP16			
82553	Creatine mb fraction	N		CP16			
82554	Creatine isoforms	N		CP16			
82565	Assay of creatinine	N		CP16			
82570	Assay of urine creatinine	N		CP16			
82575	Creatinine clearance test	N		CP16			
82585	Assay of cryofibrinogen	N		CP16			
82595	Assay of cryoglobulin	N		CP16			
82600	Assay of cyanide	N		CP16			
82607	Vitamin b-12	N		CP16			
82608	B-12 binding capacity	N		CP16			
82610	Cystatin c	N		NI8			
82615	Test for urine cystines	N		CP16			
82626	Dehydroepiandrosterone	N		CP16			
82627	Dehydroepiandrosterone	N		CP16			
82633	Desoxycorticosterone	N		CP16			
82634	Deoxycortisol	N		CP16			
82638	Assay of dibucaine number	N		CP16			
82642	Dihydrotestosterone	N 		NP19			
82652	Vit d 1 25-dihydroxy	N		CP16			
82653	El-1 fecal quantitative	N		NP22			
82656	El-1 fecal qual/semiq	N		CP16			
82657	Enzyme cell activity	N		CP16			
82658	Enzyme cell activity ra	N		CP16			
82664	Electrophoretic test	N		CP16			
82668	Assay of erythropoietin	N		CP16			
82670	Assay of total estradiol	N		CP16			
82671	Assay of estrogens	N		CP16			
82672	Assay of estrogen	N		CP16			
82677	Assay of estriol	N		CP16			
82679	Assay of estrone	N		CP16			
82681	Assay dir meas fr estradiol	N		NP21			
82693	Assay of ethylene glycol	N		CP16			
82696	Assay of etiocholanolone	N		CP16			
82705	Fats/lipids feces qual	N		CP16			
82710	Fats/lipids feces quant	N		CP16			
82715	Assay of fecal fat	N		CP16			
82725	Assay of blood fatty acids	N		CP16			
82726	Long chain fatty acids	N		CP16			
82728	Assay of ferritin	N		CP16			
82731	Assay of fetal fibronectin	N		CP16			
82735	Assay of fluoride	N		CP16			
82746	Assay of folic acid serum	N		CP16			
82747	Assay of folic acid rbc	N		CP16			
82757	Assay of semen fructose	N		CP16			
82759	Assay of rbc galactokinase	N		CP16			
82760	Assay of galactose	N		CP16			
82775	Assay galactose transferase	N		CP16			
82776	Galactose transferase test	N		CP16			
82777	Galectin-3	N		NI13			
82784	Assay iga/igd/igg/igm each	N		CP16			
82785	Assay of ige	N		CP16			
82787	Igg 1 2 3 or 4 each	N		CP16			
82800	Blood ph	N		CP16			
82803	Blood gases any combination	N		CP16			
82805	Blood gases w/o2 saturation	N		CP16			
82810	Blood gases o2 sat only	N		CP16			
82820	Hemoglobin-oxygen affinity	N		CP16			
82930	Gastric analy w/ph ea spec	N		NI11			
82938	Gastrin test	N		CP16			
82941	Assay of gastrin	N		CP16			
82943	Assay of glucagon	N		CP16			
82945	Glucose other fluid	N		CP16			
82946	Glucagon tolerance test	N		CP16			
82947	Assay glucose blood quant	A		CP16			
82948	Reagent strip/blood glucose	N		CP16			
82950	Glucose test	A		CP16			
82951	Glucose tolerance test (gtt)	A		CP16			
82952	Gtt-added samples	N		CP16			
82955	Assay of g6pd enzyme	N		CP16			
82960	Test for g6pd enzyme	N		CP16			
82962	Glucose blood test	N		CP16			
82963	Assay of glucosidase	N		CP16			
82965	Assay of gdh enzyme	N		CP16			
82977	Assay of ggt	N		CP16			
82978	Assay of glutathione	N		CP16			
82979	Assay rbc glutathione	N		CP16			
82985	Assay of glycated protein	N		CP16			
83001	Assay of gonadotropin (fsh)	N		CP16			
83002	Assay of gonadotropin (lh)	N		CP16			
83003	Assay growth hormone (hgh)	N		CP16			
83006	Growth stimulation gene 2	N		NI15			
83009	H pylori (c-13) blood	N		CP16			
83010	Assay of haptoglobin quant	N		CP16			
83012	Assay of haptoglobins	N		CP16			
83013	H pylori (c-13) breath	N		CP16			
83014	H pylori drug admin	N		CP16			
83015	Heavy metal qual any anal	N		CP16			
83018	Heavy metal quant each nes	N		CP16			
83020	Hemoglobin electrophoresis	N		CP16			
83021	Hemoglobin chromotography	N		CP16			
83026	Hemoglobin copper sulfate	N		CP16			
83030	Hemoglobin f fetal chemical	N		CP16			
83033	Hemoglobin ftl f assay qual	N		CP16			
83036	Hemoglobin glycosylated a1c	N		CP16			
83037	Hb glycosylated a1c home dev	N		NI6			
83045	Hgb methemoglobin qual	N		CP16			
83050	Hgb methemoglobin quan	N		CP16			
83051	Hemoglobin plasma	N		CP16			
83060	Hgb sulfhemoglobin quan	N		CP16			
83065	Hemoglobin thermolabile	N		CP16			
83068	Hemoglobin unstable screen	N		CP16			
83069	Hemoglobin urine	N		CP16			
83070	Assay of hemosiderin qual	N		CP16			
83080	Assay of b hexosaminidase ea	N		CP16			
83088	Assay of histamine	N		CP16			
83090	Assay of homocysteine	N		CP16			
83150	Assay of homovanillic acid	N		CP16			
83491	Asy hydroxycorticosteroids17	N		CP16			
83497	Assay of 5-hiaa	N		CP16			
83498	Asy hydroxyprogesterone 17-d	N		CP16			
83499	Assay of progesterone 20-	N		PD18			
83500	Assay free hydroxyproline	N		CP16			
83505	Assay total hydroxyproline	N		CP16			
83516	Immunoassay nonantibody	N		CP16			
83518	Immunoassay dipstick	N		CP16			
83519	Ria nonantibody	N		CP16			
83520	Immunoassay quant nos nonab	N		CP16			
83521	Ig light chains free each	N		NP22			
83525	Assay of insulin	N		CP16			
83527	Assay of insulin	N		CP16			
83528	Assay of intrinsic factor	N		CP16			
83529	Asay of interleukin-6 (il-6)	N		NP22			
83540	Assay of iron	N		CP16			
83550	Iron binding test	N		CP16			
83570	Assay of idh enzyme	N		CP16			
83582	Assay of ketogenic steroids	N		CP16			
83586	Assay 17- ketosteroids	N		CP16			
83593	Fractionation ketosteroids	N		CP16			
83605	Assay of lactic acid	N		CP16			
83615	Lactate (ld) (ldh) enzyme	N		CP16			
83625	Assay of ldh enzymes	N		CP16			
83630	Lactoferrin fecal (qual)	N		CP16			
83631	Lactoferrin fecal (quant)	N		NI6			
83632	Placental lactogen	N		CP16			
83633	Test urine for lactose	N		CP16			
83655	Assay of lead	N		CP16			
83661	L/s ratio fetal lung	N		CP16			
83662	Foam stability fetal lung	N		CP16			
83663	Fluoro polarize fetal lung	N		CP16			
83664	Lamellar bdy fetal lung	N		CP16			
83670	Assay of lap enzyme	N		CP16			
83690	Assay of lipase	N		CP16			
83695	Assay of lipoprotein(a)	N		NI6			
83698	Assay lipoprotein pla2	N		NI7			
83700	Lipopro bld electrophoretic	N		NI6			
83701	Lipoprotein bld hr fraction	N		NI6			
83704	Lipoprotein bld quan part	N		NI6			
83718	Assay of lipoprotein	N		CP19			
83719	Assay of blood lipoprotein	N		CP16			
83721	Assay of blood lipoprotein	N		CP16			
83722	Lipoprtn dir meas sd ldl chl	N		NP19			
83727	Assay of lrh hormone	N		CP16			
83735	Assay of magnesium	N		CP16			
83775	Assay malate dehydrogenase	N		CP16			
83785	Assay of manganese	N		CP16			
83789	Mass spectrometry qual/quan	N		CP16			
83825	Assay of mercury	N		CP16			
83835	Assay of metanephrines	N		CP16			
83857	Assay of methemalbumin	N		CP16			
83861	Microfluid analy tears	N		NI11			
83864	Mucopolysaccharides	N		CP16			
83872	Assay synovial fluid mucin	N		CP16			
83873	Assay of csf protein	N		CP16			
83874	Assay of myoglobin	N		CP16			
83876	Assay myeloperoxidase	N		NI9			
83880	Assay of natriuretic peptide	N		CP16			
83883	Assay nephelometry not spec	N		CP16			
83884	Assay neurflmnt light chain	N 		NP25			
83885	Assay of nickel	N		CP16			
83915	Assay of nucleotidase	N		CP16			
83916	Oligoclonal bands	N		CP16			
83918	Organic acids total quant	N		CP16			
83919	Organic acids qual each	N		CP16			
83921	Organic acid single quant	N		CP16			
83930	Assay of blood osmolality	N		CP16			
83935	Assay of urine osmolality	N		CP16			
83937	Assay of osteocalcin	N		CP16			
83945	Assay of oxalate	N		CP16			
83950	Oncoprotein her-2/neu	N		CP16			
83951	Oncoprotein dcp	N		NI9			
83970	Assay of parathormone	N		CP16			
83986	Assay ph body fluid nos	N		CP16			
83987	Exhaled breath condensate	N		NI10			
83992	Assay for phencyclidine	E1		CP17			
83993	Assay for calprotectin fecal	N		NI8			
84030	Assay of blood pku	N		CP16			
84035	Assay of phenylketones	N		CP16			
84060	Assay acid phosphatase	N		CP16			
84061	Phosphatase forensic exam	N		PD18			
84066	Assay prostate phosphatase	N		CP16			
84075	Assay alkaline phosphatase	N		CP16			
84078	Assay alkaline phosphatase	N		CP16			
84080	Assay alkaline phosphatases	N		CP16			
84081	Assay phosphatidylglycerol	N		CP16			
84085	Assay of rbc pg6d enzyme	N		CP16			
84087	Assay phosphohexose enzymes	N		CP16			
84100	Assay of phosphorus	N		CP16			
84105	Assay of urine phosphorus	N		CP16			
84106	Test for porphobilinogen	N		CP16			
84110	Assay of porphobilinogen	N		CP16			
84112	Eval amniotic fluid protein	N		NI11			
84119	Test urine for porphyrins	N		CP16			
84120	Assay of urine porphyrins	N		CP16			
84126	Assay of feces porphyrins	N		CP16			
84132	Assay of serum potassium	N		CP16			
84133	Assay of urine potassium	N		CP16			
84134	Assay of prealbumin	N		CP16			
84135	Assay of pregnanediol	N		CP16			
84138	Assay of pregnanetriol	N		CP16			
84140	Assay of pregnenolone	N		CP16			
84143	Assay of 17-hydroxypregneno	N		CP16			
84144	Assay of progesterone	N		CP16			
84145	Procalcitonin (pct)	N		NI10			
84146	Assay of prolactin	N		CP16			
84150	Assay of prostaglandin	N		CP16			
84152	Assay of psa complexed	N		CP16			
84153	Assay of psa total	N		CP16			
84154	Assay of psa free	N		CP16			
84155	Assay of protein serum	N		CP16			
84156	Assay of protein urine	N		CP16			
84157	Assay of protein other	N		CP16			
84160	Assay of protein any source	N		CP16			
84163	Pappa serum	N		CP16			
84165	Protein e-phoresis serum	N		CP16			
84166	Protein e-phoresis/urine/csf	N		CP16			
84181	Western blot test	N		CP16			
84182	Protein western blot test	N		CP16			
84202	Assay rbc protoporphyrin	N		CP16			
84203	Test rbc protoporphyrin	N		CP16			
84206	Assay of proinsulin	N		CP16			
84207	Assay of vitamin b-6	N		CP16			
84210	Assay of pyruvate	N		CP16			
84220	Assay of pyruvate kinase	N		CP16			
84228	Assay of quinine	N		CP16			
84233	Assay of estrogen	N		CP16			
84234	Assay of progesterone	N		CP16			
84235	Assay of endocrine hormone	N		CP16			
84238	Assay nonendocrine receptor	N		CP16			
84244	Assay of renin	N		CP16			
84252	Assay of vitamin b-2	N		CP16			
84255	Assay of selenium	N		CP16			
84260	Assay of serotonin	N		CP16			
84270	Assay of sex hormone globul	N		CP16			
84275	Assay of sialic acid	N		CP16			
84285	Assay of silica	N		CP16			
84295	Assay of serum sodium	N		CP16			
84300	Assay of urine sodium	N		CP16			
84302	Assay of sweat sodium	N		CP16			
84305	Assay of somatomedin	N		CP16			
84307	Assay of somatostatin	N		CP16			
84311	Spectrophotometry	N		CP16			
84315	Body fluid specific gravity	N		CP16			
84375	Chromatogram assay sugars	N		CP16			
84376	Sugars single qual	N		CP16			
84377	Sugars multiple qual	N		CP16			
84378	Sugars single quant	N		CP16			
84379	Sugars multiple quant	N		CP16			
84392	Assay of urine sulfate	N		CP16			
84393	Tau phosphorylated ea	N		NP25			
84394	Total tau	N		NP25			
84402	Assay of free testosterone	N		CP16			
84403	Assay of total testosterone	N		CP16			
84410	Testosterone bioavailable	N		NP17			
84425	Assay of vitamin b-1	N		CP16			
84430	Assay of thiocyanate	N		CP16			
84431	Thromboxane urine	N		NI10			
84432	Assay of thyroglobulin	N		CP16			
84433	Asy thiopurin s-mthyltrnsfrs	N 		NP23			
84436	Assay of total thyroxine	N		CP16			
84437	Assay of neonatal thyroxine	N		CP16			
84439	Assay of free thyroxine	N		CP16			
84442	Assay of thyroid activity	N		CP16			
84443	Assay thyroid stim hormone	N		CP16			
84445	Assay of tsi globulin	N		CP16			
84446	Assay of vitamin e	N		CP16			
84449	Assay of transcortin	N		CP16			
84450	Transferase (ast) (sgot)	N		CP16			
84460	Alanine amino (alt) (sgpt)	N		CP16			
84466	Assay of transferrin	N		CP16			
84478	Assay of triglycerides	A		CP16			
84479	Assay of thyroid (t3 or t4)	N		CP16			
84480	Assay triiodothyronine (t3)	N		CP16			
84481	Free assay (ft-3)	N		CP16			
84482	T3 reverse	N		CP16			
84484	Assay of troponin quant	N		CP16			
